Stock_ID,Date,Instrument_Name,Price,Volume
Stock_1,2022-11-25,Apple,148.11,35200000
Stock_1,2022-11-23,Apple,151.07,58300000
Stock_1,2022-11-22,Apple,150.18,51800000
Stock_1,2022-11-21,Apple,148.01,58720000
Stock_1,2022-11-18,Apple,151.29,74830000
Stock_1,2022-11-17,Apple,150.72,80390000
Stock_1,2022-11-16,Apple,148.79,64220000
Stock_1,2022-11-15,Apple,150.04,89870000
Stock_1,2022-11-14,Apple,148.28,73370000
Stock_1,2022-11-11,Apple,149.7,93980000
Stock_1,2022-11-10,Apple,146.87,118850000
Stock_1,2022-11-09,Apple,134.87,74920000
Stock_1,2022-11-08,Apple,139.5,89910000
Stock_1,2022-11-07,Apple,138.92,83380000
Stock_1,2022-11-04,Apple,138.38,140820000
Stock_1,2022-11-03,Apple,138.88,97920000
Stock_1,2022-11-02,Apple,145.03,93610000
Stock_1,2022-11-01,Apple,150.65,80380000
Stock_1,2022-10-31,Apple,153.34,97940000
Stock_1,2022-10-28,Apple,155.74,164760000
Stock_1,2022-10-27,Apple,144.8,109180000
Stock_1,2022-10-26,Apple,149.35,88440000
Stock_1,2022-10-25,Apple,152.34,74730000
Stock_1,2022-10-24,Apple,149.45,75980000
Stock_1,2022-10-21,Apple,147.27,86550000
Stock_1,2022-10-20,Apple,143.39,64520000
Stock_1,2022-10-19,Apple,143.86,61760000
Stock_1,2022-10-18,Apple,143.75,99140000
Stock_1,2022-10-17,Apple,142.41,85250000
Stock_1,2022-10-14,Apple,138.38,88600000
Stock_1,2022-10-13,Apple,142.99,113220000
Stock_1,2022-10-12,Apple,138.34,70430000
Stock_1,2022-10-11,Apple,138.98,77030000
Stock_1,2022-10-10,Apple,140.42,74900000
Stock_1,2022-10-07,Apple,140.09,85930000
Stock_1,2022-10-06,Apple,145.43,68400000
Stock_1,2022-10-05,Apple,146.4,79470000
Stock_1,2022-10-04,Apple,146.1,87830000
Stock_1,2022-10-03,Apple,142.45,114310000
Stock_1,2022-09-30,Apple,138.2,124930000
Stock_1,2022-09-29,Apple,142.48,128140000
Stock_1,2022-09-28,Apple,149.84,146690000
Stock_1,2022-09-27,Apple,151.76,84440000
Stock_1,2022-09-26,Apple,150.77,93340000
Stock_1,2022-09-23,Apple,150.43,96030000
Stock_1,2022-09-22,Apple,152.74,86650000
Stock_1,2022-09-21,Apple,153.72,101700000
Stock_1,2022-09-20,Apple,156.9,107690000
Stock_1,2022-09-19,Apple,154.48,81470000
Stock_1,2022-09-16,Apple,150.7,162280000
Stock_1,2022-09-15,Apple,152.37,90480000
Stock_1,2022-09-14,Apple,155.31,87970000
Stock_1,2022-09-13,Apple,153.84,122660000
Stock_1,2022-09-12,Apple,163.43,104960000
Stock_1,2022-09-09,Apple,157.37,68080000
Stock_1,2022-09-08,Apple,154.46,84920000
Stock_1,2022-09-07,Apple,155.96,87450000
Stock_1,2022-09-02,Apple,155.81,76960000
Stock_1,2022-09-01,Apple,157.96,74230000
Stock_1,2022-08-31,Apple,157.22,87990000
Stock_1,2022-08-30,Apple,158.91,77910000
Stock_1,2022-08-29,Apple,161.38,73310000
Stock_1,2022-08-26,Apple,163.62,78960000
Stock_1,2022-08-25,Apple,170.03,51220000
Stock_1,2022-08-24,Apple,167.53,53840000
Stock_1,2022-08-23,Apple,167.23,54150000
Stock_1,2022-08-22,Apple,167.57,69030000
Stock_1,2022-08-19,Apple,171.52,70350000
Stock_1,2022-08-18,Apple,174.15,62290000
Stock_1,2022-08-17,Apple,174.55,79540000
Stock_1,2022-08-16,Apple,173.03,56380000
Stock_1,2022-08-15,Apple,173.19,54090000
Stock_1,2022-08-12,Apple,172.1,68040000
Stock_1,2022-08-11,Apple,168.49,57150000
Stock_1,2022-08-10,Apple,169.24,70170000
Stock_1,2022-08-09,Apple,164.92,63140000
Stock_1,2022-08-08,Apple,164.87,60360000
Stock_1,2022-08-05,Apple,165.35,56700000
Stock_1,2022-08-04,Apple,165.81,55470000
Stock_1,2022-08-03,Apple,166.13,82510000
Stock_1,2022-08-02,Apple,160.01,59910000
Stock_1,2022-08-01,Apple,161.51,67830000
Stock_1,2022-07-29,Apple,162.51,101790000
Stock_1,2022-07-28,Apple,157.35,81380000
Stock_1,2022-07-27,Apple,156.79,78620000
Stock_1,2022-07-26,Apple,151.6,55140000
Stock_1,2022-07-25,Apple,152.95,53620000
Stock_1,2022-07-22,Apple,154.09,66680000
Stock_1,2022-07-21,Apple,155.35,65090000
Stock_1,2022-07-20,Apple,153.04,64820000
Stock_1,2022-07-19,Apple,151,82980000
Stock_1,2022-07-18,Apple,147.07,81420000
Stock_1,2022-07-15,Apple,150.17,76260000
Stock_1,2022-07-14,Apple,148.47,78140000
Stock_1,2022-07-13,Apple,145.49,71190000
Stock_1,2022-07-12,Apple,145.86,77590000
Stock_1,2022-07-11,Apple,144.87,63310000
Stock_1,2022-07-08,Apple,147.04,64550000
Stock_1,2022-07-07,Apple,146.35,66250000
Stock_1,2022-07-06,Apple,142.92,74060000
Stock_1,2022-07-01,Apple,138.93,71050000
Stock_1,2022-06-30,Apple,136.72,98960000
Stock_1,2022-06-29,Apple,139.23,66240000
Stock_1,2022-06-28,Apple,137.44,67320000
Stock_1,2022-06-27,Apple,141.66,70210000
Stock_1,2022-06-24,Apple,141.66,89120000
Stock_1,2022-06-23,Apple,138.27,72430000
Stock_1,2022-06-22,Apple,135.35,73410000
Stock_1,2022-06-17,Apple,131.56,134520000
Stock_1,2022-06-16,Apple,130.06,107960000
Stock_1,2022-06-15,Apple,135.43,91530000
Stock_1,2022-06-14,Apple,132.76,84780000
